song_id,title,hidden,author,themes,ccli_number,last_scheduled_at,last_used_at,recent_uses_found,recent_use_1,recent_use_2,recent_use_3,days_since_last_use,usage_band,recency_band,bpm,length_seconds,meter,arrangement_name
26841052,"Wake Up, My People",False,,,,2024-09-15T10:00:00Z,2024-09-15T10:00:00Z,1,2024-09-15T10:00:00Z,,,530,Infrequent,365d+,,,,
26778553,Anxious Heart,False,,,,2024-09-08T10:00:00Z,2024-09-08T10:00:00Z,1,2024-09-08T10:00:00Z,,,537,Infrequent,365d+,,210,4/4,Jeremy Camp
26550399,All Because Of You,False,"David Leonard, Josh Baldwin, and Pat Barrett","Commitment, Faithfulness, God's Love, Proclamation, Redemption",7223173,2024-07-21T10:00:00Z,2024-07-21T10:00:00Z,1,2024-07-21T10:00:00Z,,,586,Infrequent,365d+,,300,4/4,Default Arrangement
26390362,Voice Of Truth,False,Steven Curtis Chapman and Mark Hall,"Truth, Faith",4196620,2024-06-16T10:00:00Z,2024-06-16T10:00:00Z,1,2024-06-16T10:00:00Z,,,621,Infrequent,365d+,,300,4/4,Default Arrangement
26335561,Child Of Love,False,"Andrew Bergthold, Ed Cash, Franni Cash, Martin Cash, and Scott Cash","Change, Freedom, God's Love, Transformation",7153977,2024-06-02T10:00:00Z,2024-06-02T10:00:00Z,1,2024-06-02T10:00:00Z,,,635,Infrequent,365d+,,300,4/4,Default Arrangement
26335544,Jireh,False,"Chandler Moore, Chris Brown, Naomi Raine, and Steven Furtick",,7164826,2024-06-02T10:00:00Z,2024-06-02T10:00:00Z,1,2024-06-02T10:00:00Z,,,635,Infrequent,365d+,,300,4/4,Default Arrangement
26335554,Running Home,False,"Jeff Pardo, Matthew West, and Michael Cochren",,7200308,2024-06-02T10:00:00Z,2024-06-02T10:00:00Z,1,2024-06-02T10:00:00Z,,,635,Infrequent,365d+,,300,4/4,Default Arrangement
26190344,All Hail The Power Of Jesus Name,False,"Edward Perronet, John (adapt) Rippon, and Oliver Holden","Gospel, Christ, Majesty, Name Of Jesus, , God's Attributes, Power, Lordship Of Jesus, Jesus, Praise, Adoration, Eternal Life, Grace, Worship",25400,2024-05-05T10:00:00Z,2024-05-05T10:00:00Z,1,2024-05-05T10:00:00Z,,,663,Infrequent,365d+,,240,4/4,Default Arrangement
26154276,Jacob,False,Chris Renzema,,7130861,2026-04-05T10:00:00Z,2024-04-28T10:00:00Z,1,2024-04-28T10:00:00Z,,,670,Infrequent,365d+,,270,6/8,Default Arrangement
26090777,You Are My All In All,False,Dennis Jernigan,", Name, Strength, Jesus, Lamb of God, Praise, Worship",825356,2024-04-14T10:00:00Z,2024-04-14T10:00:00Z,1,2024-04-14T10:00:00Z,,,684,Infrequent,365d+,,240,4/4,Default Arrangement
